State,Year,Predicted_Crimes,Lower_CI,Upper_CI
ANDHRA PRADESH,2025,198596.94995700775,197753.55638436414,199440.34352965135
ANDHRA PRADESH,2026,198588.8999140155,197396.16128516462,199781.63854286636
ANDHRA PRADESH,2027,198580.84987102324,197120.04935242748,200041.650389619
ANDHRA PRADESH,2028,198572.79982803098,196886.01268274378,200259.5869733182
ANDHRA PRADESH,2029,198564.74978503873,196678.86442482122,200450.63514525624
ARUNĀCHAL PRADESH,2025,2737.0,2636.0942088720903,2837.9057911279097
ARUNĀCHAL PRADESH,2026,2737.0,2594.2976616649225,2879.7023383350775
ARUNĀCHAL PRADESH,2027,2737.0,2562.2260429885264,2911.7739570114736
ARUNĀCHAL PRADESH,2028,2737.0,2535.1884177441793,2938.8115822558207
ARUNĀCHAL PRADESH,2029,2737.0,2511.367791714597,2962.632208285403
ASSAM,2025,88411.0,86470.16754982075,90351.83245017925
ASSAM,2026,88411.0,85666.2484266627,91155.7515733373
ASSAM,2027,88411.0,85049.37958731115,91772.62041268885
ASSAM,2028,88411.0,84529.3350996415,92292.6649003585
ASSAM,2029,88411.0,84071.16670846172,92750.83329153828
CHHATTĪSGARH,2025,52719.0,51264.48873829619,54173.51126170381
CHHATTĪSGARH,2026,52719.0,50662.01044707407,54775.98955292593
CHHATTĪSGARH,2027,52719.0,50199.71259454789,55238.28740545211
CHHATTĪSGARH,2028,52719.0,49809.97747659238,55628.02252340762
CHHATTĪSGARH,2029,52719.0,49466.613944791294,55971.386055208706
DELHI,2025,86618.0,82490.85205824483,90745.14794175517
DELHI,2026,86618.0,80781.33140684963,92454.66859315037
DELHI,2027,86618.0,79469.57007452672,93766.42992547328
DELHI,2028,86618.0,78363.70411648965,94872.29588351035
DELHI,2029,86618.0,77389.41664903708,95846.58335096292
GOA,2025,4229.259842519685,4192.441448891959,4266.07823614741
GOA,2026,4226.5196850393695,4174.450613426249,4278.58875665249
GOA,2027,4223.779527559054,4160.008199142763,4287.550855975345
GOA,2028,4221.039370078739,4147.402582823288,4294.67615733419
GOA,2029,4218.299212598424,4135.9707816244845,4300.627643572363
GUJARĀT,2025,122359.0,120554.90472377563,124163.09527622437
GUJARĀT,2026,122359.0,119807.62399255027,124910.37600744973
GUJARĀT,2027,122359.0,119234.2153198844,125483.7846801156
GUJARĀT,2028,122359.0,118750.80944755128,125967.19055244872
GUJARĀT,2029,122359.0,118324.92032447606,126393.07967552394
HARYĀNA,2025,79611.88038942976,78899.80045143179,80323.96032742773
HARYĀNA,2026,79591.76077885952,78584.727673049,80598.79388467004
HARYĀNA,2027,79571.64116828928,78338.28253662631,80804.99979995225
HARYĀNA,2028,79551.52155771904,78127.36168172311,80975.68143371497
HARYĀNA,2029,79531.4019471488,77939.14280037151,81123.66109392609
JAMMU AND KASHMĪR,2025,26537.0,26268.182492396096,26805.817507603904
JAMMU AND KASHMĪR,2026,26537.0,26156.83463494323,26917.16536505677
JAMMU AND KASHMĪR,2027,26537.0,26071.394418866006,27002.605581133994
JAMMU AND KASHMĪR,2028,26537.0,25999.364984792195,27074.635015207805
JAMMU AND KASHMĪR,2029,26537.0,25935.905779455607,27138.094220544393
KARNĀTAKA,2025,137305.0,136752.6560358001,137857.3439641999
KARNĀTAKA,2026,137305.0,136523.86767473357,138086.13232526643
KARNĀTAKA,2027,137305.0,136348.31219075178,138261.68780924822
KARNĀTAKA,2028,137305.0,136200.3120716002,138409.6879283998
KARNĀTAKA,2029,137305.0,136069.92134908732,138540.07865091268
KERALA,2025,126096.33891356338,125125.33076805683,127067.34705906993
KERALA,2026,126082.67782712675,124709.46493857664,127455.89071567687
KERALA,2027,126069.01674069013,124387.18129810954,127750.85218327072
KERALA,2028,126055.35565425351,124113.3393632404,127997.37194526661
KERALA,2029,126041.69456781688,123870.45434775822,128212.93478787555
LAKSHADWEEP,2025,63.25,56.99421373959904,69.50578626040095
LAKSHADWEEP,2026,63.25,56.99421373959904,69.50578626040095
LAKSHADWEEP,2027,63.25,56.99421373959904,69.50578626040095
LAKSHADWEEP,2028,63.25,56.99421373959904,69.50578626040095
LAKSHADWEEP,2029,63.25,56.99421373959904,69.50578626040095
MADHYA PRADESH,2025,246670.0,245979.13153152334,247360.86846847666
MADHYA PRADESH,2026,246670.0,245692.96444206437,247647.03555793563
MADHYA PRADESH,2027,246670.0,245473.3807112511,247866.6192887489
MADHYA PRADESH,2028,246670.0,245288.26306304667,248051.73693695333
MADHYA PRADESH,2029,246670.0,245125.171140975,248214.828859025
MANIPUR,2025,4431.0,4250.185651515443,4611.814348484557
MANIPUR,2026,4431.0,4175.289896101484,4686.710103898516
MANIPUR,2027,4431.0,4117.820361687283,4744.179638312717
MANIPUR,2028,4431.0,4069.3713030308863,4792.628696969114
MANIPUR,2029,4431.0,4026.686825481195,4835.313174518805
MEGHĀLAYA,2025,3037.0,2756.799293586247,3317.200706413753
MEGHĀLAYA,2026,3037.0,2640.736360803149,3433.263639196851
MEGHĀLAYA,2027,3037.0,2551.67814017469,3522.32185982531
MEGHĀLAYA,2028,3037.0,2476.598587172495,3597.401412827505
MEGHĀLAYA,2029,3037.0,2410.452173115388,3663.547826884612
MIZORAM,2025,2100.0,2011.6573940809528,2188.342605919047
MIZORAM,2026,2100.0,1975.0646885739002,2224.9353114261
MIZORAM,2027,2100.0,1946.9861180751725,2253.0138819248273
MIZORAM,2028,2100.0,1923.314788161902,2276.685211838098
MIZORAM,2029,2100.0,1902.459927855531,2297.540072144469
ODISHA,2025,72820.73879443586,72130.50050072868,73510.97708814304
ODISHA,2026,72798.47758887173,71822.33323264176,73774.6219451017
ODISHA,2027,72776.21638330759,71580.6885892771,73971.74417733809
ODISHA,2028,72753.95517774345,71373.47859032908,74134.43176515783
ODISHA,2029,72731.69397217932,71188.27422677659,74275.11371758205
PUDUCHERRY,2025,4463.0,4242.107697631432,4683.892302368568
PUDUCHERRY,2026,4463.0,4150.611110166552,4775.388889833448
PUDUCHERRY,2027,4463.0,4080.403309296773,4845.596690703227
PUDUCHERRY,2028,4463.0,4021.2153952628637,4904.784604737137
PUDUCHERRY,2029,4463.0,3969.069796197444,4956.930203802556
PUNJAB,2025,38434.03295571576,38067.843257955166,38800.222653476354
PUNJAB,2026,38425.06591143152,37907.195474457185,38942.936348405856
PUNJAB,2027,38416.09886714728,37781.83970541764,39050.35802887692
PUNJAB,2028,38407.13182286304,37674.75242734185,39139.51121838423
PUNJAB,2029,38398.1647785788,37579.33972172601,39216.98983543159
SIKKIM,2025,652.5837116313326,616.611827125766,688.5555961368991
SIKKIM,2026,656.8336592551688,612.0865470839084,701.5807714264291
SIKKIM,2027,656.8336592551688,612.0865470839084,701.5807714264291
SIKKIM,2028,656.8336592551688,612.0865470839084,701.5807714264291
SIKKIM,2029,656.8336592551688,612.0865470839084,701.5807714264291
TAMIL NĀDU,2025,206703.0,205876.53636558758,207529.46363441242
TAMIL NĀDU,2026,206703.0,205534.20391940582,207871.79608059418
TAMIL NĀDU,2027,206703.0,205271.5229945897,208134.4770054103
TAMIL NĀDU,2028,206703.0,205050.0727311752,208355.9272688248
TAMIL NĀDU,2029,206703.0,204854.97113252233,208551.02886747767
TRIPURA,2025,6988.0,6913.82425967865,7062.17574032135
TRIPURA,2026,6988.0,6883.099662038483,7092.900337961517
TRIPURA,2027,6988.0,6859.523849074388,7116.476150925612
TRIPURA,2028,6988.0,6839.648519357302,7136.351480642698
TRIPURA,2029,6988.0,6822.1380023600905,7153.8619976399095
UTTAR PRADESH,2025,232466.0,230759.09676614488,234172.90323385512
UTTAR PRADESH,2026,232466.0,230052.07429702362,234879.92570297638
UTTAR PRADESH,2027,232466.0,229509.55687535933,235422.44312464067
UTTAR PRADESH,2028,232466.0,229052.1935322898,235879.8064677102
UTTAR PRADESH,2029,232466.0,228649.24833808577,236282.75166191423
UTTARĀKHAND,2025,232323.022556391,228372.54436313245,236273.50074964954
UTTARĀKHAND,2026,232180.04511278198,226593.2252740166,237766.86495154738
UTTARĀKHAND,2027,232037.06766917298,225194.63872425628,238879.49661408967
UTTARĀKHAND,2028,231894.09022556397,223993.13383904687,239795.04661208106
UTTARĀKHAND,2029,231751.11278195496,222917.57499819828,240584.65056571164
WEST BENGAL,2025,181032.0,180781.39593661414,181282.60406338586
WEST BENGAL,2026,181032.0,180677.59233477392,181386.40766522608
WEST BENGAL,2027,181032.0,180597.9410296325,181466.0589703675
WEST BENGAL,2028,181032.0,180530.7918732283,181533.2081267717
WEST BENGAL,2029,181032.0,180471.63227883156,181592.36772116844
